       29440
 #  0.314000000000357     
 Na         114           1           1
 Cl         114           1           2
 S          114           1           3
 O          114           1           4
 C          114           1           5
 C          114           1           6
 C          114           1           7
 C          114           1           8
 C          114           1           9
 C          114           1          10
 C          114           1          11
 O          114           1          12
 S          114           1          13
 Cl         114           1          14
 Na         114           1          15
 Na         114           1          16
 O          115           1           1
 O          115           1           2
 C          115           1           3
 C          115           1           4
 C          115           1           5
 C          115           1           6
 C          115           1           7
 C          115           1           8
 C          115           1           9
 C          115           1          10
 C          115           1          11
 C          115           1          12
 C          115           1          13
 O          115           1          14
 O          115           1          15
 O          115           1          16
 C          116           1           1
 C          116           1           2
 C          116           1           3
 C          116           1           4
 C          116           1           5
 C          116           1           6
 C          116           1           7
 C          116           1           8
 C          116           1           9
 C          116           1          10
 C          116           1          11
 C          116           1          12
 C          116           1          13
 C          116           1          14
 C          116           1          15
 C          116           1          16
 C          117           1           1
 C          117           1           2
 C          117           1           3
 C          117           1           4
 C          117           1           5
 C          117           1           6
 C          117           1           7
 C          117           1           8
 C          117           1           9
 C          117           1          10
 C          117           1          11
 C          117           1          12
 C          117           1          13
 C          117           1          14
 C          117           1          15
 C          117           1          16
 O          118           1           1
 O          118           1           2
 O          118           1           3
 C          118           1           4
 C          118           1           5
 C          118           1           6
 C          118           1           7
 C          118           1           8
 C          118           1           9
 C          118           1          10
 C          118           1          11
 C          118           1          12
 C          118           1          13
 O          118           1          14
 O          118           1          15
 O          118           1          16
 Na         119           1           1
 Na         119           1           2
 Cl         119           1           3
 S          119           1           4
 O          119           1           5
 C          119           1           6
 C          119           1           7
 C          119           1           8
 C          119           1           9
 C          119           1          10
 C          119           1          11
 O          119           1          12
 S          119           1          13
 Br         119           1          14
 Na         119           1          15
 Na         119           1          16
 S          120           1           5
 C          120           1           6
 C          120           1           7
 C          120           1           8
 C          120           1           9
 C          120           1          10
 C          120           1          11
 S          120           1          12
 Cl         121           1           5
 O          121           1           6
 C          121           1           7
 C          121           1           8
 C          121           1           9
 C          121           1          10
 O          121           1          11
 Br         121           1          12
 Na         122           1           5
 O          122           1           6
 C          122           1           7
 C          122           1           8
 C          122           1           9
 C          122           1          10
 H          122           1          11
 Na         122           1          12
 Na         123           1           5
 O          123           1           6
